TradeMaximizer Version 1.4a
Options: ALLOW-DUMMIES REQUIRE-COLONS REQUIRE-USERNAMES HIDE-NONTRADES SHOW-ELAPSED-TIME SEED=123456 METRIC=USERS-TRADING

Input Checksum: b4c11c9265aa3c73c6b51286b871660
TRADE LOOPS (138 total trades):
(SERGIMCVO) 8639837          receives (ALCMAGALHAES) 8640572       and sends to (TATO30001) 8632473
(SERGIMCVO) 8639854          receives (BRUNOBENTO) 8641734         and sends to (MARSHA09) 8629384
(SERGIMCVO) 8642108          receives (TREMERESL) 8641826          and sends to (BRUNOBENTO) 8641661
(SERGIMCVO) 8642110          receives (ALCMAGALHAES) 8635365       and sends to (BRUNOBENTO) 8641624
(SERGIMCVO) 8642121          receives (MARCOSFSOUZA) 8632168       and sends to (MARCOSFSOUZA) 8632186
(SERGIMCVO) 8642124          receives (M4LK4V) 8642003             and sends to (GENTLEPYRO) 8632303
(SERGIMCVO) 8642136          receives (FMDS) 8634549               and sends to (ALCMAGALHAES) 8635365
(SERGIMCVO) 8642147          receives (WAN42) 8636167              and sends to (ROBINSONFERRARI) 8641808
(SERGIMCVO) 8642158          receives (BRUNOBENTO) 8641661         and sends to (GLMIRANDA) 8632090
(SERGIMCVO) 8642160          receives (RMCORREA) 8638677           and sends to (FMDS) 8634595
(TATO30001) 8632460          receives (MARSHA09) 8641767           and sends to (ROBERTOTJR) 8642105
(TATO30001) 8632473          receives (SERGIMCVO) 8639837          and sends to (TREMERESL) 8641839
(THIAGO_MATOS) 8631872       receives (RMCORREA) 8638681           and sends to (FILIPERR) 8641617
(THIAGO_MATOS) 8631873       receives (NANDONEVES2404) 8632369     and sends to (DANIBOUCAS) 8641966
(THIAGO_MATOS) 8631874       receives (DOUGLASHIPNOTISTA) 8641884  and sends to (BRUNOBENTO) 8641618
(THIAGO_MATOS) 8631879       receives (DANIBOUCAS) 8641969         and sends to (DANIBOUCAS) 8641969
(THIAGO_MATOS) 8633964       receives (ENYOSALDANHA) 8641463       and sends to (VICAGIBSON) 8641737
(THIAGO_MATOS) 8636385       receives (LUCASCMEDEIROS) 8629994     and sends to (NATHALIAOLGO) 8635693
(THUNDERXT) 8637194          receives (DONUBRAN) 8639500           and sends to (REDOUTLAW) 8631736
(TREMERESL) 8641818          receives (MARCOSGPMELO) 8641999       and sends to (ROBINSONFERRARI) 8641849
(TREMERESL) 8641826          receives (O_ENRICAO) 8641789          and sends to (SERGIMCVO) 8642108
(TREMERESL) 8641839          receives (TATO30001) 8632473          and sends to (DOUGLASHIPNOTISTA) 8641964
(TREMERESL) 8641845          receives (AVLEDOLIVEIRA) 8632799      and sends to (BRUNOBENTO) 8641823
(VICAGIBSON) 8641737         receives (THIAGO_MATOS) 8633964       and sends to (BRUNOBENTO) 8641793
(VICAGIBSON) 8641752         receives (BRUNOBENTO) 8641624         and sends to (BRUNOBENTO) 8632352
(VOLATYLE) 8635181           receives (LUCASCMEDEIROS) 8635451     and sends to (BERROLDER) 8641694
(VOLATYLE) 8635185           receives (LUCASCMEDEIROS) 8642250     and sends to (LUCASCMEDEIROS) 8642251
(WAN42) 8636167              receives (REDOUTLAW) 8631736          and sends to (SERGIMCVO) 8642147
(WAN42) 8636169              receives (PHILLZIS) 8633303           and sends to (BRUNOBENTO) 8641734

Num trades  = 138 of 477 items (28,9%)
Total cost  = 138 (avg 1,00)
Num groups  = 7
Group sizes = 88 22 16 4 3 3 2
Sum squares = 8522
Elapsed time = 140ms
