TradeMaximizer Version 1.4a
Options: ALLOW-DUMMIES REQUIRE-COLONS REQUIRE-USERNAMES HIDE-NONTRADES SHOW-ELAPSED-TIME SEED=123456 METRIC=USERS-TRADING

Input Checksum: c7cf1ff73cd57943d18ae17fe274f46
TRADE LOOPS (137 total trades):
(MARCOSGPMELO) 8642009       receives (DOUGLASHIPNOTISTA) 8641914  and sends to (MARSHA09) 8641767
(MARCOS_VINICIUS) 8632255    receives (AVLEDOLIVEIRA) 8632789      and sends to (PHILLZIS) 8641895
(MARCOS_VINICIUS) 8632265    receives (BRUNOBENTO) 8641848         and sends to (GLMIRANDA) 8632111
(MARCUSWQUIRINO) 8639489     receives (ALCMAGALHAES) 8634387       and sends to (GLMIRANDA) 8632124
(MARSHA09) 8629343           receives (GLMIRANDA) 8632108          and sends to (GLMIRANDA) 8632099
(MARSHA09) 8629384           receives (SERGIMCVO) 8639854          and sends to (DPMPESSOA) 8641998
(MARSHA09) 8629420           receives (DANIBOUCAS) 8641971         and sends to (BRUNOBENTO) 8641793
(MARSHA09) 8629461           receives (MARCOSFSOUZA) 8632223       and sends to (SERGIMCVO) 8642121
(MARSHA09) 8641767           receives (MARCOSGPMELO) 8642009       and sends to (TATO30001) 8632460
(MISTERD909) 8632525         receives (DANIBOUCAS) 8641966         and sends to (SALOMONFE) 8636474
(MISTERD909) 8632527         receives (RMCORREA) 8638695           and sends to (AVLEDOLIVEIRA) 8632789
(NANDONEVES2404) 8632369     receives (NATHALIAOLGO) 8635693       and sends to (RMCORREA) 8638695
(NANDONEVES2404) 8632425     receives (RMCORREA) 8638726           and sends to (VOLATYLE) 8635185
(NATHALIAOLGO) 8635653       receives (BRUNOBENTO) 8641871         and sends to (TATO30001) 8632473
(NATHALIAOLGO) 8635693       receives (THIAGO_MATOS) 8636385       and sends to (NANDONEVES2404) 8632369
(O_ENRICAO) 8641789          receives (AVLEDOLIVEIRA) 8632801      and sends to (TREMERESL) 8641826
(O_ENRICAO) 8641817          receives (ROBERTOTJR) 8642105         and sends to (MARCOSFSOUZA) 8632101
(O_ENRICAO) 8642125          receives (BRUNOBENTO) 8641784         and sends to (DANIBOUCAS) 8641971
(PHILLZIS) 8633303           receives (ENYOSALDANHA) 8641461       and sends to (WAN42) 8636169
(PHILLZIS) 8641702           receives (BRUNOBENTO) 8632352         and sends to (MARCOSFSOUZA) 8632223
(PHILLZIS) 8641895           receives (MARCOS_VINICIUS) 8632255    and sends to (M4LK4V) 8642003
(PSCHULMAN) 8640119          receives (M4LK4V) 8642012             and sends to (DOUGLASHIPNOTISTA) 8641987
(REDOUTLAW) 8631736          receives (LUCASCMEDEIROS) 8642250     and sends to (WAN42) 8636167
(RMCORREA) 8638677           receives (GLMIRANDA) 8632099          and sends to (SERGIMCVO) 8642160
(RMCORREA) 8638681           receives (FMDS) 8634595               and sends to (THIAGO_MATOS) 8631872
(RMCORREA) 8638695           receives (NANDONEVES2404) 8632369     and sends to (MISTERD909) 8632527
(RMCORREA) 8638726           receives (AVLEDOLIVEIRA) 8632791      and sends to (NANDONEVES2404) 8632425
(ROBERTOTJR) 8642041         receives (ERICINLINUX) 8641931        and sends to (AVLEDOLIVEIRA) 8632801
(ROBERTOTJR) 8642105         receives (TATO30001) 8632460          and sends to (O_ENRICAO) 8641817
(ROBINSONFERRARI) 8641808    receives (SERGIMCVO) 8642147          and sends to (DANIBOUCAS) 8641966
(ROBINSONFERRARI) 8641833    receives (GLMIRANDA) 8632090          and sends to (SERGIMCVO) 8639823
(ROBINSONFERRARI) 8641849    receives (TREMERESL) 8641818          and sends to (ENYOSALDANHA) 8641461
(ROBINSONFERRARI) 8641866    receives (BRUNOBENTO) 8641622         and sends to (BRUNOBENTO) 8632352
(ROBINSONFERRARI) 8641880    receives (BRUNOBENTO) 8641618         and sends to (AVLEDOLIVEIRA) 8632791
(ROBINSONFERRARI) 8641916    receives (ANDRELRUAS) 8640713         and sends to (LUCASCMEDEIROS) 8629994
(RODRIGOFMADUIREIRA) 8641753 receives (ENYOSALDANHA) 8642049       and sends to (GLMIRANDA) 8632133
(SALOMONFE) 8636474          receives (MISTERD909) 8632525         and sends to (SERGIMCVO) 8639832
(SERGIMCVO) 8639771          receives (AVLEDOLIVEIRA) 8632806      and sends to (BRUNOBENTO) 8641784
(SERGIMCVO) 8639791          receives (FMDS) 8634535               and sends to (BRUNOBENTO) 8641622
(SERGIMCVO) 8639823          receives (ROBINSONFERRARI) 8641833    and sends to (ANDRELRUAS) 8640713
(SERGIMCVO) 8639832          receives (SALOMONFE) 8636474          and sends to (BRUNOBENTO) 8641797
(SERGIMCVO) 8639854          receives (BRUNOBENTO) 8641734         and sends to (MARSHA09) 8629384
(SERGIMCVO) 8642108          receives (YAKKOOWARNER) 8641746       and sends to (BRUNOBENTO) 8641661
(SERGIMCVO) 8642110          receives (ALCMAGALHAES) 8635365       and sends to (BRUNOBENTO) 8641871
(SERGIMCVO) 8642121          receives (MARSHA09) 8629461           and sends to (MARCOSFSOUZA) 8632186
(SERGIMCVO) 8642124          receives (M4LK4V) 8642003             and sends to (GENTLEPYRO) 8632303
(SERGIMCVO) 8642136          receives (FMDS) 8634549               and sends to (ALCMAGALHAES) 8635365
(SERGIMCVO) 8642147          receives (WAN42) 8636167              and sends to (ROBINSONFERRARI) 8641808
(SERGIMCVO) 8642158          receives (BRUNOBENTO) 8641661         and sends to (GLMIRANDA) 8632090
(SERGIMCVO) 8642160          receives (RMCORREA) 8638677           and sends to (FMDS) 8634595
(TATO30001) 8632460          receives (MARSHA09) 8641767           and sends to (ROBERTOTJR) 8642105
(TATO30001) 8632473          receives (NATHALIAOLGO) 8635653       and sends to (TREMERESL) 8641839
(THIAGO_MATOS) 8631872       receives (RMCORREA) 8638681           and sends to (FILIPERR) 8641617
(THIAGO_MATOS) 8631874       receives (DOUGLASHIPNOTISTA) 8641884  and sends to (BRUNOBENTO) 8641618
(THIAGO_MATOS) 8631879       receives (DANIBOUCAS) 8641969         and sends to (DANIBOUCAS) 8641969
(THIAGO_MATOS) 8633964       receives (ENYOSALDANHA) 8641463       and sends to (VICAGIBSON) 8641737
(THIAGO_MATOS) 8636385       receives (LUCASCMEDEIROS) 8629994     and sends to (NATHALIAOLGO) 8635693
(THUNDERXT) 8637194          receives (DONUBRAN) 8639500           and sends to (HICKMORAIS) 8638353
(TREMERESL) 8641818          receives (MARCOSGPMELO) 8641999       and sends to (ROBINSONFERRARI) 8641849
(TREMERESL) 8641826          receives (O_ENRICAO) 8641789          and sends to (FMDS) 8634603
(TREMERESL) 8641839          receives (TATO30001) 8632473          and sends to (DOUGLASHIPNOTISTA) 8641914
(VICAGIBSON) 8641737         receives (THIAGO_MATOS) 8633964       and sends to (BRUNOBENTO) 8641848
(VICAGIBSON) 8641752         receives (BRUNOBENTO) 8641624         and sends to (BRUNOBENTO) 8641624
