TradeMaximizer Version 1.4aMT
Input from: ./julho2021/wants.txt
Options: ALLOW-DUMMIES REQUIRE-COLONS REQUIRE-USERNAMES HIDE-NONTRADES SHOW-ELAPSED-TIME SEED=123456 METRIC=USERS-TRADING

Input Checksum: ec726b75b2a0361c2bf12d607de6f2b5
TRADE LOOPS (396 total trades):

(ALISONARANTES) 8379958    receives (BRUNOBENTO) 8387194
(BRUNOBENTO) 8387194       receives (TEODORHFB) 8379706
(TEODORHFB) 8379706        receives (GTORRES87) 8383446
(GTORRES87) 8383446        receives (ENYOSALDANHA) 8379682
(ENYOSALDANHA) 8379682     receives (PSYCHOBIO) 8386822
(PSYCHOBIO) 8386822        receives (URIENS1981) 8388403
(URIENS1981) 8388403       receives (NANDONEVES2404) 8379760
(NANDONEVES2404) 8379760   receives (DANIELSANTOS60) 8379684
(DANIELSANTOS60) 8379684   receives (PSCHULMAN) 8379973
(PSCHULMAN) 8379973        receives (DONUBRAN) 8380725
(DONUBRAN) 8380725         receives (ENYOSALDANHA) 8379674
(ENYOSALDANHA) 8379674     receives (HICKMORAIS) 8379724
(HICKMORAIS) 8379724       receives (LUCASCMEDEIROS) 8384357
(LUCASCMEDEIROS) 8384357   receives (ALCMAGALHAES) 8383506
(ALCMAGALHAES) 8383506     receives (PATTY_TASS) 8388438
(PATTY_TASS) 8388438       receives (RMCORREA) 8380817
(RMCORREA) 8380817         receives (BRUNOBENTO) 8387161
(BRUNOBENTO) 8387161       receives (JOGOSTESTAGEM) 8381829
(JOGOSTESTAGEM) 8381829    receives (ZDOMINGUES) 8383338
(ZDOMINGUES) 8383338       receives (M4LK4V) 8380108
(M4LK4V) 8380108           receives (MORFEATIRE) 8387662
(MORFEATIRE) 8387662       receives (ARAGAKI SAN) 8388230
(ARAGAKI SAN) 8388230      receives (MARCOS_VINICIUS) 8380052
(MARCOS_VINICIUS) 8380052  receives (RMCORREA) 8381604
(RMCORREA) 8381604         receives (ALISONARANTES) 8382903
(ALISONARANTES) 8382903    receives (MARSHA09) 8388227
(MARSHA09) 8388227         receives (ESCLERO) 8385001
(ESCLERO) 8385001          receives (URIENS1981) 8387827
(URIENS1981) 8387827       receives (ROBERTOTJR) 8379660
(ROBERTOTJR) 8379660       receives (NYANRICK22) 8380449
(NYANRICK22) 8380449       receives (LUCASCMEDEIROS) 8380282
(LUCASCMEDEIROS) 8380282   receives (CONDEBERNA) 8381720
(CONDEBERNA) 8381720       receives (MARSHA09) 8379697
(MARSHA09) 8379697         receives (TREMERESL) 8388612
(TREMERESL) 8388612        receives (BRUNOBENTO) 8381896
(BRUNOBENTO) 8381896       receives (LUISH) 8386551
(LUISH) 8386551            receives (IVANPUMA) 8388360
(IVANPUMA) 8388360         receives (C4GUEST0) 8387679
(C4GUEST0) 8387679         receives (AVLEDOLIVEIRA) 8379931
(AVLEDOLIVEIRA) 8379931    receives (IVANPUMA) 8388347
(IVANPUMA) 8388347         receives (C4GUEST0) 8387669
(C4GUEST0) 8387669         receives (MARCOSFSOUZA) 8388176
